   1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 
1736 1764 2124 2945 3801 4126 4650 4757 5007 5613 6563 6626 7121 10338 10415 11517 12480 12551    171 
1703 6411 8006    159 
1698 4344 6575 7795 8350 10524    240 
1695    102 231 278 336 
1695 3581    231 336 
1682 10782    151 186 
1660    55 57 85 201 235 244 277 
1660 3002    55 85 235 277 
1660 3002 10075    85 
1660 1819 4574 12036    55 244 
1660 1819 3081 4574 5086 5705 6774 8223 10079 11829 12036 12191    244 
1651 10922    2 55 154 193 205 
1651 5302 10922 11249    2 55 193 205 
1651 5302 6613 10922 11249    2 193 205 
1651 2915 4358 4959 5302 7085 8330 10340 10922 11249    55 205 
1635 5459 8119    138 260 284 
1635 5459 5761 8119    138 284 
1607 7889 10236    216 288 
1583 2145 4034 4771 5314 5484 6090 6115 6775 7092 11292 11619    117 310 
1558 2497 2735 3714 3754 4403 4581 4753 4916 5123 5140 5675 5983 6884 6889 9832 10351 11122    176 
1532 1569 1583 1584 2145 3120 4034 4771 5314 5484 5935 6090 6115 6497 6775 7092 8250 8324 8876 10852 11292 11619 12293    310 
1513 10904    162 217 256 
1512 1635 1782 2288 5459 5551 5761 5972 7371 8119 9405 9684 10165 10912 11065 11221    284 
1499 7987    36 37 92 214 347 
1499 3948 3961 7987    36 92 347 
1499 3948 3961 5718 7482 7987    36 347 
1475    30 336 
1475 3023 4331 4568 9973    30 
1452    147 192 255 305 
1452 5384 7102    192 255 305 
1452 2074 9735 10539    147 255 
1452 2074 3332 5071 5575 5926 6905 9735 10224 10539    147 
1452 1792 5384 7102 10382    255 305 
1448 5341 7307 8131 8175    94 158 
1436 9997    117 137 178 
1436 7926 9997    137 178 
1414 2317    114 336 346 
1402 2375 2726 2814 7598 8760    157 286 
1402 1879 2227 2375 2726 2814 3954 5290 6016 6459 7598 7682 7879 7964 8210 8760 8767 8952 9938 10101 11407 11654    286 
1388 1753 1980 2011 2175 2499 3492 3824 5638 6127 6132 7376 8001 8249 8334 8689 9659 10011 10435 10456 10799 11235 11878 12177 12218 12308    188 215 
1373 6279 11902    144 146 177 
1373 2202 6279 11605 11902    146 
1371 2510 9474 12517    210 252 260 
1362 3777 9131    211 
1345 2594 6508 6988 7542 8562    129 
1341 2476 2920 8646    114 319 
1316 1524 1941 2232 2525 5976 10863    210 230 260 287 
1316 1524 1941 2232 2525 4091 5195 5976 10863    210 260 287 
1313 10462    22 33 
1313 1538 1571 1616 2030 2213 2680 2795 3965 4438 4506 4874 5427 5998 5999 6162 6309 6366 6879 7651 8820 8932 8995 9009 10042 10216 10462 11590    33 
1288 3018 3112 5925 6929 8124    104 107 251 260 
1288 3018 3112 5925 6929 8124 10446    107 260 
1288 3018 3112 5925 6929 8124 8417 10283 11743    104 251 260 
1288 3018 3112 5118 5925 6929 8124    104 107 251 
1288 3018 3112 4216 5118 5925 6929 8124 8417 8547 10283 11743    104 251 
1275 11188    191 212 276 
1275 9303 11188    191 212 
1268 2181 3285 4354 4760 5077 5372 5981 6920 8795 9384 10895    317 
1267 7524    73 78 221 
1267 4194 7355 7524 8718    78 221 
1241 1635 2506 3244 4005 4498 5459 5515 6336 6584 8119 8238 8857    138 260 
1241 1590 1635 2496 2506 3244 3786 4005 4132 4498 5300 5459 5515 5761 6214 6336 6584 7849 8119 8220 8238 8857 11922 12274    138 
1226 11540    296 
1212 2790 3602 3729 4079 5000 5676 8034 9792 10247 12001    116 195 203 
1206    200 324 
1195    101 194 245 
1195 1257 3950 9156 11400    194 245 
1195 1257 3723 3950 4138 4275 7881 8112 9156 10958 11400    194 
1184 1341 1451 2411 2432 2476 2529 2920 3781 3881 4079 5069 6111 6990 7059 7116 7999 8121 8646 9179 9225 10125 10990 11253 11663 12001    319 
1181 1471 1964 4315 5422 6561 10170 12556    344 
1179 1785 7181 7465 8131 12193    94 103 
1168 2645 3450 3515 4537 5337 7171 10126 10513 10846 10993 11479    136 
1167 1308 1828 3287 3825 4319 5151 5241 6118 6747 10215 10455 10748 11304 11915    68 145 
